name;party;num_bill
Wragg,MrWilliam;Conservative;1
Lloyd,Tony;Labour;2
Healey,John;Labour;8
Byrne,Liam;Labour;7
Smith,Eleanor;Labour;2
Sweeney,MrPaulJ;Labour;7
Lee,MsKaren;Labour;1
Rowley,Danielle;Labour;1
Keeley,Barbara;Labour;1
Russell-Moyle,MrLloyd;Labour;1
Rodda,Matt;Labour;1
Howell,John;Conservative;2
Miliband,Edward;Labour;10
David,Wayne;Labour;6
Jones,Gerald;Labour;7
Trevelyan,MrsAnne-Marie;Conservative;6
Ahmed-Sheikh,MsTasmina;ScottishNationalParty;103
Arkless,Richard;ScottishNationalParty;50
Mulholland,Greg;LiberalDemocrat;175
Wilson,Corri;ScottishNationalParty;100
Whiteford,DrEilidh;ScottishNationalParty;45
Boswell,Philip;ScottishNationalParty;99
Dowd,Jim;Labour;30
Ferrier,Margaret;ScottishNationalParty;200
Ritchie,MsMargaret;SocialDemocratic&LabourParty;372
Robertson,Angus;ScottishNationalParty;32
Weir,Mike;ScottishNationalParty;177
Olney,Sarah;LiberalDemocrat;7
Mathias,DrTania;Conservative;10
Mullin,Roger;ScottishNationalParty;150
Thomson,Michelle;Independent;36
Kerevan,George;ScottishNationalParty;75
Monaghan,DrPaul;ScottishNationalParty;374
McGarry,Natalie;Independent;216
Durkan,Mark;SocialDemocratic&LabourParty;788
McDonnell,DrAlasdair;SocialDemocratic&LabourParty;86
Kerr,Calum;ScottishNationalParty;55
Howarth,SirGerald;Conservative;7
Meale,SirAlan;Labour;977
Dodds,MrNigel;DemocraticUnionistParty;113
McLaughlin,Anne;ScottishNationalParty;128
Elliott,Tom;UlsterUnionistParty;52
Onwurah,Chi;Labour;3
Oswald,Kirsten;ScottishNationalParty;206
Kinahan,Danny;UlsterUnionistParty;58
Flello,Robert;Labour;46
Thompson,Owen;ScottishNationalParty;97
Gale,SirRoger;Conservative;2
Butler,Dawn;Labour;22
Umunna,MrChuka;Labour;11
Winnick,MrDavid;Labour;12
Salmond,Alex;ScottishNationalParty;104
Paterson,Steven;ScottishNationalParty;91
Williams,MrMark;LiberalDemocrat;90
Nicolson,John;ScottishNationalParty;73
Grant,MrsHelen;Conservative;1
Donaldson,StuartBlair;ScottishNationalParty;69
McCaig,Callum;ScottishNationalParty;85
McCartney,Karl;Conservative;7
Rimmer,Marie;Labour;32
Glass,Pat;Labour;16
Mactaggart,Fiona;Labour;11
Greenwood,Margaret;Labour;4
Jones,Graham;Labour;13
Cooper,Julie;Labour;4
Blenkinsop,Tom;Labour;13
Clegg,MrNick;LiberalDemocrat;2
Burgon,Richard;Labour;16
Qureshi,Yasmin;Labour;48
Allen,MrGraham;Labour;16
Whitehead,DrAlan;Labour;11
Gardiner,Barry;Labour;7
Hanson,MrDavid;Labour;8
Johnson,Alan;Labour;6
Kyle,Peter;Labour;5
Pickles,SirEric;Conservative;2
Thomas-Symonds,Nick;Labour;12
Wiggin,Bill;Conservative;4
Pugh,John;LiberalDemocrat;25
Crausby,MrDavid;Labour;106
Tami,Mark;Labour;6
Haigh,Louise;Labour;15
Lewis,MrIvan;Labour;2
Brazier,MrJulian;Conservative;1
Kane,Mike;Labour;5
Penrose,John;Conservative;1
Streeter,MrGary;Conservative;6
Lilley,MrPeter;Conservative;4
Adams,Nigel;Conservative;3
Philp,Chris;Conservative;4
Milling,Amanda;Conservative;1
Reed,MrJamie;Labour;6
Shuker,MrGavin;Labour;2
Selous,Andrew;Conservative;1
Poulter,Dr;Conservative;2
Dugher,Michael;Labour;3
DePiero,Gloria;Labour;2
Greenwood,Lilian;Labour;2
Leslie,Chris;Labour;4
